                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.93432,                0.63535,                 0.9231,                0.63161,                0.40646,                0.46578,                0.29793,                 1.0653,                0.82754,                 0.9895,              0.0003862,              0.0003862,              0.0003862
                     65,                0.93539,                0.63294,                0.92321,                0.59897,                0.42116,                0.46618,                0.29874,                 1.0639,                0.82422,                 0.9917,              0.0003763,              0.0003763,              0.0003763
                     66,                0.93109,                0.63298,                0.92229,                0.59963,                 0.4089,                 0.4602,                0.29579,                 1.0638,                0.82931,                0.99017,              0.0003664,              0.0003664,              0.0003664
                     67,                0.92796,                0.62821,                0.91926,                0.63319,                0.39863,                0.46402,                  0.298,                 1.0646,                0.82215,                0.99096,              0.0003565,              0.0003565,              0.0003565
                     68,                0.92893,                0.63097,                0.92325,                0.55373,                0.44154,                0.46854,                0.30036,                 1.0665,                0.81784,                0.98934,              0.0003466,              0.0003466,              0.0003466
                     69,                0.92377,                0.62746,                0.91725,                0.59761,                 0.4206,                0.46132,                0.29684,                 1.0655,                0.84116,                0.99151,              0.0003367,              0.0003367,              0.0003367
                     70,                0.92452,                0.62579,                0.91788,                0.59961,                0.42333,                0.46488,                0.29889,                 1.0652,                0.82381,                0.98873,              0.0003268,              0.0003268,              0.0003268
                     71,                 0.9152,                 0.6139,                 0.9167,                 0.5984,                0.42025,                0.46843,                0.30037,                 1.0665,                 0.8269,                0.99068,              0.0003169,              0.0003169,              0.0003169
                     72,                 0.9177,                0.61798,                0.91703,                0.60031,                0.42964,                0.46758,                0.30039,                 1.0613,                0.82588,                0.98954,               0.000307,               0.000307,               0.000307
                     73,                 0.9124,                0.61689,                0.91515,                0.61213,                0.41257,                0.46631,                0.29964,                 1.0626,                0.81922,                0.98902,              0.0002971,              0.0002971,              0.0002971
                     74,                 0.9133,                0.61702,                0.91498,                0.60079,                0.41466,                0.46716,                0.29905,                 1.0667,                0.82859,                0.99125,              0.0002872,              0.0002872,              0.0002872
                     75,                0.91004,                0.61171,                0.91318,                0.59126,                0.42502,                0.46639,                0.30027,                 1.0616,                0.82398,                0.98728,              0.0002773,              0.0002773,              0.0002773
                     76,                0.91413,                0.61298,                0.91339,                0.59591,                0.42036,                0.46475,                0.29942,                 1.0644,                0.82781,                0.99039,              0.0002674,              0.0002674,              0.0002674
                     77,                0.91143,                0.60934,                0.91538,                0.59674,                0.42328,                0.46959,                0.30098,                 1.0603,                0.82024,                0.98809,              0.0002575,              0.0002575,              0.0002575
                     78,                0.90424,                0.60481,                0.91122,                0.63412,                0.41467,                0.46484,                0.29918,                 1.0649,                0.82964,                0.99214,              0.0002476,              0.0002476,              0.0002476
                     79,                0.90311,                0.60292,                0.91336,                0.60759,                0.42545,                0.46622,                0.30111,                 1.0587,                 0.8272,                0.98765,              0.0002377,              0.0002377,              0.0002377
                     80,                0.90052,                0.60204,                0.90934,                0.60974,                0.41837,                 0.4633,                0.29895,                 1.0611,                0.82987,                0.99037,              0.0002278,              0.0002278,              0.0002278
                     81,                0.90506,                0.60099,                0.91148,                0.61618,                0.42047,                0.46925,                0.30255,                  1.059,                0.82243,                0.98927,              0.0002179,              0.0002179,              0.0002179
                     82,                 0.8991,                0.59694,                0.90846,                 0.6052,                0.42017,                0.46725,                0.30112,                 1.0616,                0.82795,                0.98952,               0.000208,               0.000208,               0.000208
                     83,                0.89436,                0.59458,                0.90942,                0.61175,                0.41724,                 0.4678,                0.30166,                 1.0634,                0.83031,                0.99397,              0.0001981,              0.0001981,              0.0001981
                     84,                0.89839,                0.59811,                0.90939,                0.59689,                 0.4267,                0.46978,                0.30132,                 1.0629,                0.82917,                0.99188,              0.0001882,              0.0001882,              0.0001882
                     85,                0.89185,                 0.5929,                0.90891,                 0.6086,                0.42602,                0.46734,                 0.2996,                 1.0602,                0.82832,                0.99115,              0.0001783,              0.0001783,              0.0001783
                     86,                0.89351,                0.59156,                0.90672,                0.59246,                0.43033,                0.46564,                0.29924,                 1.0616,                0.83368,                 0.9923,              0.0001684,              0.0001684,              0.0001684
                     87,                0.89306,                0.59464,                0.90704,                 0.6104,                0.41865,                0.46684,                0.29989,                 1.0632,                0.82799,                0.99203,              0.0001585,              0.0001585,              0.0001585
                     88,                0.88428,                0.58583,                 0.9056,                0.61813,                0.41105,                0.46488,                0.29827,                 1.0611,                0.82924,                0.98928,              0.0001486,              0.0001486,              0.0001486
                     89,                0.88596,                0.58608,                0.90645,                0.60332,                0.42247,                0.46668,                 0.2991,                 1.0627,                0.83179,                0.99015,              0.0001387,              0.0001387,              0.0001387
                     90,                0.88873,                0.58738,                0.90471,                0.61499,                0.41344,                0.46458,                0.29864,                 1.0594,                0.82996,                0.98863,              0.0001288,              0.0001288,              0.0001288
                     91,                0.89226,                0.57609,                 0.9035,                0.61343,                0.40815,                0.45821,                0.29338,                 1.0711,                0.83614,                0.99564,              0.0001189,              0.0001189,              0.0001189
                     92,                0.88003,                0.56479,                0.89812,                0.61083,                0.41197,                0.46027,                0.29475,                 1.0701,                0.82694,                0.99658,               0.000109,               0.000109,               0.000109
                     93,                0.87954,                0.56295,                0.89799,                0.61703,                0.41141,                0.46064,                0.29579,                 1.0681,                0.82964,                0.99372,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.86992,                0.55294,                0.89237,                0.61286,                0.41695,                0.46095,                0.29557,                 1.0697,                0.82912,                0.99458,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.87372,                0.55615,                0.89543,                0.62872,                0.40585,                 0.4606,                 0.2952,                 1.0706,                0.82814,                0.99446,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.86901,                0.55224,                0.89193,                0.61136,                0.41466,                0.46089,                0.29501,                 1.0699,                0.82544,                0.99488,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.86837,                 0.5519,                0.89256,                 0.6093,                0.41366,                0.46112,                0.29476,                 1.0705,                0.82583,                0.99589,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.86604,                0.55114,                0.89265,                0.61296,                0.41284,                0.46113,                0.29532,                 1.0707,                0.82694,                0.99524,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.86127,                0.54679,                0.89011,                 0.6132,                0.41329,                 0.4623,                0.29619,                 1.0693,                0.82543,                0.99389,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.86126,                0.54462,                0.88932,                0.61603,                0.41151,                0.46136,                 0.2955,                 1.0699,                0.82595,                0.99467,               2.98e-05,               2.98e-05,               2.98e-05
